NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
15:20:42,8/6/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150806-16000-20lps-eq\16000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,21.2,,,,,,,,
Water Height,290,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,Moved,This file is to computed the 20lps-16kg run fluctuations because the sonars moved and the distance is not recorded.,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,768,0,264,0,,,,,
Transducer 2,668,0,286,0,,,,,
Transducer 3,868,0,243,0,,yes,,,
Transducer 4,568,0,293,0,,,,,
Transducer 5,468,0,314,0,,yes,,,
Transducer 6,368,0,337,0,,yes,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
428, 0:37:30,2249.6,2261.6,204.2,228.6,188.9,240.2,261.5,290.1
429, 0:37:35,2254.6,2266.6,203.3,228.6,186,238.5,262.6,289.4
430, 0:37:40,2259.6,2271.6,205.4,229.7,185.7,237.7,264.5,290
431, 0:37:45,2264.6,2276.6,204.1,227.4,184.9,239,261.5,288.8
432, 0:37:50,2269.6,2281.6,205.6,229.5,188.2,241.7,263,290.4
433, 0:37:55,2275,2287,203.7,231.1,188.1,241.2,264.5,291.3
434, 0:38:00,2280,2292.1,205.4,228.6,184,240.5,261.7,289.2
435, 0:38:05,2284.6,2296.6,205.7,228,187.8,240.7,260.3,291.5
436, 0:38:10,2289.6,2301.6,205.7,228.7,185.3,239.9,264.7,290.3
437, 0:38:15,2295.1,2307.1,204.1,229.7,187.7,237.6,262.4,291.7
438, 0:38:20,2299.6,2311.7,203.4,228.3,185,240.1,263.3,288.3
439, 0:38:25,2305.4,2317.4,205.4,229.7,185.8,237.4,264.7,289.5
440, 0:38:30,2310.4,2322.5,204.6,234.3,189.6,235.8,261,293
441, 0:38:35,2315,2327.1,201.1,232.9,185.4,244,260.6,290.7
442, 0:38:40,2320,2332,204.2,227.4,184.3,242.3,262.4,292.6
443, 0:38:45,2325,2337,205.1,230,185.3,238.9,260.9,292.9
444, 0:38:50,2330,2342,205.1,229.5,183.6,239.1,262.9,291.2
445, 0:38:55,2334.6,2346.6,204.6,228.6,182.9,237.8,261.8,289.2
446, 0:39:00,2340,2352,203.3,230.3,189.1,238.2,263.7,290.4
447, 0:39:05,2344.5,2356.5,202.6,232.2,186.5,239.4,261.6,288
448, 0:39:10,2350,2362.1,201.3,231.2,188.1,241.6,264.7,291.2
449, 0:39:15,2355,2367,203.1,230,187.9,237.7,262.7,287
450, 0:39:20,2360,2372.1,205.7,232.5,185.3,240.2,265.9,291.4
451, 0:39:25,2365,2377,205.1,231.4,184.9,237.6,263.3,291.4
452, 0:39:30,2370,2382,205.4,232.8,185,239.1,260.9,289.4
453, 0:39:35,2375,2387,202,228.9,185,241,261.9,290.5
454, 0:39:40,2379.9,2392,203.5,227.1,186.7,239.9,262.1,291.1
